date,model,equity
2022-01-31,EQUAL_WEIGHT,2.8737320871435905
2022-02-01,EQUAL_WEIGHT,2.878288119446256
2022-02-02,EQUAL_WEIGHT,2.7508941525219126
2022-02-03,EQUAL_WEIGHT,2.811164300696842
2022-02-04,EQUAL_WEIGHT,2.7937077676227626
2022-02-07,EQUAL_WEIGHT,2.9132275617447325
2022-02-08,EQUAL_WEIGHT,2.9615050636499087
2022-02-09,EQUAL_WEIGHT,2.90934043764871
2022-02-10,EQUAL_WEIGHT,2.836443831265048
2022-02-11,EQUAL_WEIGHT,2.8163196280248113
2022-02-14,EQUAL_WEIGHT,2.915861972256645
2022-02-15,EQUAL_WEIGHT,2.9202329614206834
2022-02-16,EQUAL_WEIGHT,2.821694801366256
2022-02-17,EQUAL_WEIGHT,2.778782946781009
2022-02-18,EQUAL_WEIGHT,2.7158559737203074
2022-02-22,EQUAL_WEIGHT,2.647784107818719
2022-02-23,EQUAL_WEIGHT,2.7670159888949923
2022-02-24,EQUAL_WEIGHT,2.8005482890101527
2022-02-25,EQUAL_WEIGHT,2.8199619503629125
2022-02-28,EQUAL_WEIGHT,2.7638152759857615
2022-03-01,EQUAL_WEIGHT,2.8134976053214054
2022-03-02,EQUAL_WEIGHT,2.768124306722098
2022-03-03,EQUAL_WEIGHT,2.695382176273503
2022-03-04,EQUAL_WEIGHT,2.5853829308628486
2022-03-07,EQUAL_WEIGHT,2.579514847373684
2022-03-08,EQUAL_WEIGHT,2.672703525402387
2022-03-09,EQUAL_WEIGHT,2.647156631343643
2022-03-10,EQUAL_WEIGHT,2.5663894470814186
2022-03-11,EQUAL_WEIGHT,2.5110302211572044
2022-03-14,EQUAL_WEIGHT,2.5950230187954557
2022-03-15,EQUAL_WEIGHT,2.683057816273408
2022-03-16,EQUAL_WEIGHT,2.7184808116076185
2022-03-17,EQUAL_WEIGHT,2.785901439563988
2022-03-18,EQUAL_WEIGHT,2.796837990772558
2022-03-21,EQUAL_WEIGHT,3.0357256271143953
2022-03-22,EQUAL_WEIGHT,3.0078246182744914
2022-03-23,EQUAL_WEIGHT,3.064134969682372
2022-03-24,EQUAL_WEIGHT,3.072337873281805
2022-03-25,EQUAL_WEIGHT,3.1706529418128935
2022-03-28,EQUAL_WEIGHT,3.1990083455023735
2022-03-29,EQUAL_WEIGHT,3.1797850639956593
2022-03-30,EQUAL_WEIGHT,3.127749390906511
2022-03-31,EQUAL_WEIGHT,3.1287735750787147
2022-04-01,EQUAL_WEIGHT,3.1920311763334794
2022-04-04,EQUAL_WEIGHT,3.0726267271874828
2022-04-05,EQUAL_WEIGHT,3.011177471517174
2022-04-06,EQUAL_WEIGHT,3.0145138283165984
2022-04-07,EQUAL_WEIGHT,2.96449881942921
2022-04-08,EQUAL_WEIGHT,2.903237843024257
2022-04-11,EQUAL_WEIGHT,2.872577050705453
2022-04-12,EQUAL_WEIGHT,2.9294827409111055
2022-04-13,EQUAL_WEIGHT,2.868064048801477
2022-04-14,EQUAL_WEIGHT,2.865518157479202
2022-04-18,EQUAL_WEIGHT,2.9458226111991923
